word,definition,present,example,past,conditional,subjunctive,future,imperfect,continuousProgressive,mark
venir,to come,vengo; vienes; viene; venimos; ; vienen,,,,,,,,
llegar,to arrive,llego; llegas; llega; llegamos; llgais; llegan,,llegué; llegaste; llegó; llegamos; llegamos; llegasteis; llegaron,llegaría; llegarías; llegaría; llegaríamos; llegaríais; llegarían,,,,,
recordar,to remember,,,,,,,,,
aparecer,to appear,,,,,,,,,
cerrar,to close,,,,,,,,,
dar,to give; to provide,doy; das; da; damos; ; dan,dar un regalo (give a present),,,,,,,
cuidado,,,,,,,,,,
respetar,to respect,,,,,,,,,
aceptar,to accept,,,,,,,,,
contar,to count,,,,,,,,,
paracer,"to seem, to appear (like), to look (like)",,Parece que ella es pobre. Dos centavos no parece una gran cantidad. (It appears that she is poor. Two cents doesn't seem like a large amount.),,,,,,,
acabar,to end; to finish,,,,,,,,,
caber,to fit,,,,,,,,,
servir,,,,,,,,,,
todo,every; all,,,,,,,,,
ambos,both,,,,,,,,,
alguno,another; any; some; one,,¿Existe alguna forma más eficiente de localizar a los mismos individuos?,,,,,,,
dentro,,,,,,,,,,
el escape,"leak (as of a liquid, gas or radiation), automobile exhaust, escape (especially from an oppressive situation)",,"El sistema de escape de su vehículo tiene tres funciones principales: reducir el sonido, la velocidad y la temperatura de las emisiones de gas. (The exhaust system of your vehicle has three main functions: to reduce the sound, speed and temperature of its gas emissions.)",,,,,,,
firmar,to sign,,,,,,,,,
marido,husband,,,,,,,,,
entrar,to enter; to come into,,,,,,,,,
entregar,to deliver; to give,,,,,,,,,
culpar,to blame,,El mal escribano le echa la culpa a la pluma. (The poor notary casts the blame to his pen. - A poor workman blames his tools.),,,,,,,
cualquier,any,,Cualquier día menos el lunes. (Any day except Monday.),,,,,,,
ningún,any; no,,,,,,,,,
coche,car,,,,,,,,,
cosa,thing,,"A la cama no te irás, sin saber una cosa más. (Don't go to bed without knowing one more thing.)",,,,,,,
lugar,place,,,,,,,,,
preciosa,beautiful; gorgeous; lovely,,,,,,,,,
miembro,member,,,,,,,,,
el vecino,neighbor,,,,,,,,,
abrir,to open,,,,,,,,,
la tienda,,,,,,,,,,
consentir,,,,,,,,,,
cabo,,,,,,,,,,
aportar,,,,,,,,,,
manita,little hand (of a watch or clock),,,,,,,,,
echar,"to throw; to throw away; to sack, to fire; to cast; to expel",,,,,,,,,
cambien,,,,,,,,,,
árbol,tree,,El árbol no niega su sombra ni al leñador. (The tree doesn't deny its shade to even the logger.),,,,,,,
embrollar,"to confuse, to make complicated, to embroil, to muddle, to overly involve",,"Si te embrollas, pide perdón y solicita comenzar otra vez, y tómate tu tiempo. (If you get confused, ask for forgiveness, ask to begin again, and take your time.)",,,,,,,
hablar,to talk; to speak,,"Habla poco, escucha más, y no errarás. (Talk a little, listen a lot, and you won't make mistakes.)",,,,,,,
conmigo,with me,,"Ven a vivir conmigo, y sé mi amor. (Come live with me, and be my love.)",,,,,,,
la viuda,widow,,,,,,,,,
un resfriado,a cold,,"Si padece un resfriado, le conviene un baño con agua tibia o caliente antes de ir a la cama. (If you're suffering from a cold, it would be a good idea to take a bath with warm or hot water before going to bed.)",,,,,,,
empatar,"to result in a tie or draw (as in sports or voting), to link or join together",,México y Chile empataron 1-1 en partido amistoso. (Mexico and Chile tied 1-1 in a friendly match.),,,,,,,
el mal,illness; sickness,,"A veces es más fatal, la medicina que el mal. (Sometimes the medicine is more fatal than the illness.)",,,,,,,
"el querellante, la querellante",plaintiff in a legal action (typically the one who files a lawsuit),,Los querellantes en caso Pinochet piden que se amplíe el tiempo de sus alegatos. (The plaintiffs in the Pinochet case are asking that the time for their pleas be lengthened.),,,,,,,
leña,wood,,Sin leña se apaga el fuego; sin chismes se acaba el pleito. (Without wood a fire goes out; without gossip a quarrel dies down.),,,,,,,
cielo,sky; heaven,,,,,,,,,
ya,already,,,,,,,,,
menudo,often; frequently,,¿Vienes aquí a menudo? (Do you come here often?),,,,,,,
sólo,just; only,,,,,,,,,
ojalá,hopefully,,Ojalá fuera bizco para verte dos veces. (I wish I were cross-eyed so I could see you twice.),,,,,,,
así,like this; like that; that way,,Mi hermana no es así. (My sister is not like this.),,,,,,,
tan,that; so; as,,Él no es tan alto. (He is not that tall.),,,,,,,
alto,tall,,,,,,,,,
avión,airplane,,,,,,,,,
basar,to base,,,,,,,,,
acordar,,,,,,,,,,
mismo,right now,,,,,,,,,
enviar,to send; to ship,,,,,,,,,
lucir,,,,,,,,,,
terminar,,,,,,,,,,
andar,,,,,,,,,,
salir,to go out; to leave,salgo; sales; sale; salimos; salís; salen,No sale agua caliente. (Hot water doesn’t come out.),,,,,,,
enseguida,at once; immediately,,,,,,,,,
vez,time,,,,,,,,,
aun/aún,even/still,,,,,,,,,
solo/sólo,alone/only,,,,,,,,,
aprender,to learn,,,,,,,,,
muchacha,girl,,,,,,,,,
helado,icecream,,,,,,,,,
oferta,offer,,,,,,,,,
unica,unique; special,,,,,,,,,
almohada,pillow,,,,,,,,,
esperar,to wait,,,,,,,,,
transmitir,,,,,,,,,,
sacar,"to remove, to take out; to get, to receive",,,,,,,,,
feo,ugly,,,,,,,,,
flaco,,,,,,,,,,
delgado,,,,,,,,,,
tarpe,,,,,,,,,,
calvo,,,,,,,,,,
en punto,on the dot; punctual; precisely; exactly; just,,,,,,,,,
de la mañana,in the morning,,,,,,,,,
con calma,calmly,,,,,,,,,
rápidamente,rapidly; quickly,,,,,,,,,
con frecuencia,frequently,,,,,,,,,
lentamente,slowly,,,,,,,,,
dieta,diet,,,,,,,,,
biorritmos,,,,,,,,,,
enseñar,,,,,,,,,,
verdad/mentira,true/false,,,,,,,,,
mantequilla,butter,,,,,,,,,
lejo,far; distant,,,,,,,,,
según,,,,,,,,,,
cliente,client; customer,,,,,,,,,
española,Spanish girl,,,,,,,,,
número,number; size,,,,,,,,,
usar,to wear,,,,,,,,,
leche,milk,,,,,,,,,
atractivo,attractive,,,,,,,,,
borracho,,,,,,,,,,
gasto,expense,,,,,,,,,
minimo,least,,,,,,,,,
rendimiento,performance,,,,,,,,,
nueces,nothing,,,,,,,,,
zona,zone,,,,,,,,,
gran,great,,,,,,,,,
mostrador,,,,,,,,,,
tramitar,,,,,,,,,,
nada,nothing; not anything,,"Buen vino y buena tajada y no apurarse por nada. (Good wine and good bread, and not to worry about anything.)",,,,,,,
existir,to exist,,,,,,,,,
cortar,,,,,,,,,,
lado,,,,,,,,,,
piso,,,,,,,,,,
combinar,to combine,,,,,,,,,
dando,giving,,A Dios rogando y con el mazo dando. (To God praying and with the mallet giving.),,,,,,,
cerquita,very close,,,,,,,,,
la disculpa,excuse; apology,,,,,,,,,
